2020-12-08 16:06:15,680 DEBUG  ROS Time: 1607414775 | tasks num: 0                 active robots: 0
2020-12-08 16:06:17,033 DEBUG  ROS Time: 1607414777 |         Task Status: []
2020-12-08 16:06:17,372 DEBUG  ROS Time: 1607414777 |         Robot Status: []
2020-12-08 16:06:17,686 DEBUG  ROS Time: 1607414777 | tasks num: 0                 active robots: 0
2020-12-08 16:06:19,391 DEBUG  ROS Time: 1607414779 |         Robot Status: []
2020-12-08 16:06:19,692 DEBUG  ROS Time: 1607414779 | tasks num: 0                 active robots: 0
2020-12-08 16:06:21,416 DEBUG  ROS Time: 1607414781 |         Robot Status: []
2020-12-08 16:06:21,696 DEBUG  ROS Time: 1607414781 | tasks num: 0                 active robots: 0
2020-12-08 16:06:22,060 DEBUG  ROS Time: 1607414782 |         Task Status: []
2020-12-08 16:06:23,438 DEBUG  ROS Time: 1607414783 |         Robot Status: []
2020-12-08 16:06:23,702 DEBUG  ROS Time: 1607414783 | tasks num: 0                 active robots: 0
2020-12-08 16:06:25,459 DEBUG  ROS Time: 1607414785 |         Robot Status: []
2020-12-08 16:06:25,709 DEBUG  ROS Time: 1607414785 | tasks num: 0                 active robots: 0
2020-12-08 16:06:27,087 DEBUG  ROS Time: 1607414787 |         Task Status: []
2020-12-08 16:06:27,493 DEBUG  ROS Time: 1607414787 |         Robot Status: []
2020-12-08 16:06:27,714 DEBUG  ROS Time: 1607414787 | tasks num: 0                 active robots: 0
2020-12-08 16:06:29,524 DEBUG  ROS Time: 1607414789 |         Robot Status: []
2020-12-08 16:06:29,721 DEBUG  ROS Time: 1607414789 | tasks num: 0                 active robots: 0
2020-12-08 16:06:31,554 DEBUG  ROS Time: 1607414791 |         Robot Status: []
2020-12-08 16:06:31,726 DEBUG  ROS Time: 1607414791 | tasks num: 0                 active robots: 0
2020-12-08 16:06:32,117 DEBUG  ROS Time: 1607414792 |         Task Status: []
2020-12-08 16:06:33,583 DEBUG  ROS Time: 1607414793 |         Robot Status: []
2020-12-08 16:06:33,732 DEBUG  ROS Time: 1607414793 | tasks num: 0                 active robots: 0
2020-12-08 16:06:35,608 DEBUG  ROS Time: 1607414795 |         Robot Status: []
2020-12-08 16:06:35,738 DEBUG  ROS Time: 1607414795 | tasks num: 0                 active robots: 0
2020-12-08 16:06:37,148 DEBUG  ROS Time: 1607414797 |         Task Status: []
2020-12-08 16:06:37,642 DEBUG  ROS Time: 1607414797 |         Robot Status: []
2020-12-08 16:06:37,745 DEBUG  ROS Time: 1607414797 | tasks num: 0                 active robots: 0
2020-12-08 16:06:39,664 DEBUG  ROS Time: 1607414799 |         Robot Status: []
2020-12-08 16:06:39,748 DEBUG  ROS Time: 1607414799 | tasks num: 0                 active robots: 0
2020-12-08 16:06:41,693 DEBUG  ROS Time: 1607414801 |         Robot Status: []
2020-12-08 16:06:41,754 DEBUG  ROS Time: 1607414801 | tasks num: 0                 active robots: 0
2020-12-08 16:06:42,178 DEBUG  ROS Time: 1607414802 |         Task Status: []
2020-12-08 16:06:43,738 DEBUG  ROS Time: 1607414803 |         Robot Status: []
2020-12-08 16:06:43,759 DEBUG  ROS Time: 1607414803 | tasks num: 0                 active robots: 0
2020-12-08 16:06:45,761 DEBUG  ROS Time: 1607414805 | tasks num: 0                 active robots: 0
2020-12-08 16:06:45,769 DEBUG  ROS Time: 1607414805 |         Robot Status: []
2020-12-08 16:06:47,218 DEBUG  ROS Time: 1607414807 |         Task Status: []
2020-12-08 16:06:47,764 DEBUG  ROS Time: 1607414807 | tasks num: 0                 active robots: 0
2020-12-08 16:06:47,787 DEBUG  ROS Time: 1607414807 |         Robot Status: []
2020-12-08 16:06:49,770 DEBUG  ROS Time: 1607414809 | tasks num: 0                 active robots: 0
2020-12-08 16:06:49,815 DEBUG  ROS Time: 1607414809 |         Robot Status: []
2020-12-08 16:06:51,777 DEBUG  ROS Time: 1607414811 | tasks num: 0                 active robots: 0
